property_id,roof_data_date,street,city,state,zip,full_address,visual_score,detection_types,detections,image_ref,all_sales,relevant_sale_date,relevant_sale_amount
131324,2019-01-04T05:23:42.131-08:00,214 E STATE ST,ALGONA,IA,50511,"214 E STATE ST, ALGONA, IA 50511",96.23759797847491,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,PVC/TPO,None,Undamaged,None,""No Swimming Pool"",Minor,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131324/7h5sOpKQJ.jpeg,[],null,null
131328,2019-01-04T05:23:42.146-08:00,2831 PELHAM PKWY,PELHAM,AL,35124,"2831 PELHAM PKWY, PELHAM, AL 35124",73.23195019750001,"{patching,shape,overhang,material,ponding,damage,rust,pool,staining,wear,debris}","{Moderate,Gable,None,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",Minor,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131328/To4o43PkV.jpeg,[],null,null
131320,2019-01-04T05:23:42.259-08:00,4956 CINCINNATI BROOKVILLE RD,HAMILTON,OH,45013,"4956 CINCINNATI BROOKVILLE RD, HAMILTON, OH 45013",55.00417085602035,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,""Roof Coating"",None,Undamaged,None,""No Swimming Pool"",Minor,Probable,Moderate,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131320/jfMShpGuk.jpeg,[],null,null
131326,2019-01-04T05:23:43.056-08:00,22 TOWNSHIP RD 150,DILLONVALE,OH,43917,"22 TOWNSHIP RD 150, DILLONVALE, OH 43917",99.71570377673383,"{wear,shape,overhang,material,ponding,damage,rust,pool,staining,patching,debris}","{No,Gable,None,""Asphalt Shingle"",None,Undamaged,None,""No Swimming Pool"",None,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131326/03ztXmNgY.jpeg,[],null,null
131334,2019-01-04T05:23:43.100-08:00,2000 MENTOR AVENUE,PAINESVILLE,OH,44077,"2000 MENTOR AVENUE, PAINESVILLE, OH 44077",39.89544406767593,"{shape,patching,wear,debris,staining,pool,rust,damage,ponding,material,overhang}","{Flat,Moderate,Probable,None,Prevalent,""No Swimming Pool"",None,Undamaged,Moderate,""Roof Coating"",None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131334/zGFfnEkzn.jpeg,[],null,null
131339,2019-01-04T05:23:43.425-08:00,1470 CLARA AVE,COLUMBUS,OH,43211,"1470 CLARA AVE, COLUMBUS, OH 43211",92.86118294536405,"{patching,debris,shape,overhang,material,ponding,damage,rust,pool,staining,wear}","{None,None,Gable,Low,""Asphalt Shingle"",None,Undamaged,None,""No Swimming Pool"",None,No}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131339/8N_DGgesb.jpeg,"[{'salesearchdate': '2011-6-28', 'saleTransDate': '2011-6-28', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000087530', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131330,2019-01-04T05:23:43.472-08:00,226 NORTH MAIN STREET,ROSEVILLE,OH,43777,"226 NORTH MAIN STREET, ROSEVILLE, OH 43777",96.23759797847491,"{debris,shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching}","{None,Gable,None,""Asphalt Shingle"",None,Undamaged,None,""No Swimming Pool"",Minor,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131330/e85Dcciv7.jpeg,"[{'salesearchdate': '2011-5-2', 'saleTransDate': '2011-5-2', 'amount': {'saleamt': 100000, 'salerecdate': '2011-5-4', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2011-5-2', 'saleTransDate': '2011-5-2', 'amount': {'saleamt': 100000, 'salerecdate': '2011-5-4', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131341,2019-01-04T05:23:44.284-08:00,147-149 N MAIN ST,SUFFOLK,VA,23434,"147-149 N MAIN ST, SUFFOLK, VA 23434",83.31836850866793,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,EPDM,Moderate,Undamaged,None,""No Swimming Pool"",Minor,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131341/C8GT6Crk1.jpeg,[],null,null
131340,2019-01-04T05:23:44.557-08:00,185 N BELLS ST,ALAMO,TN,38001,"185 N BELLS ST, ALAMO, TN 38001",99.71570377673383,"{debris,shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching}","{None,Gable,None,""Asphalt Shingle"",None,Undamaged,None,""No Swimming Pool"",None,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131340/Nw741kg_y.jpeg,[],null,null
131333,2019-01-04T05:23:44.816-08:00,2000 E RTE 30,ROCK FALLS,IL,61071,"2000 E RTE 30, ROCK FALLS, IL 61071",99.71570377673383,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Gable,None,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131333/mjiG-UNxS.jpeg,"[{'salesearchdate': '2012-8-20', 'saleTransDate': '2012-8-20', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000005976', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131342,2019-01-04T05:23:44.939-08:00,27 S MAIN ST,PEEBLES,OH,45660,"27 S MAIN ST, PEEBLES, OH 45660",89.58406610011673,"{pool,shape,overhang,material,ponding,damage,rust,staining,wear,patching,debris}","{""No Swimming Pool"",Gable,Low,""Asphalt Shingle"",None,Undamaged,None,Minor,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131342/jx-U0CEdD.jpeg,"[{'salesearchdate': '2008-3-14', 'saleTransDate': '2008-3-14', 'amount': {'saleamt': 85000, 'salerecdate': '2008-3-17', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131352,2019-01-04T05:23:45.614-08:00,121 S LOCUST ST,OAK HARBOR,OH,43449,"121 S LOCUST ST, OAK HARBOR, OH 43449",99.71570377673383,"{damage,pool,shape,overhang,material,ponding,rust,debris,patching,wear,staining}","{Undamaged,""No Swimming Pool"",Quonset,None,""Metal Panel"",None,None,None,None,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131352/ZwB-ZC2CL.jpeg,"[{'salesearchdate': '2018-1-10', 'saleTransDate': '2018-1-10', 'amount': {'saleamt': 0, 'salerecdate': '2018-1-17', 'saledisclosuretype': 0, 'saledocnum': '0000273488', 'saletranstype': 'Nominal - Non/Arms Length Sale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131356,2019-01-04T05:23:46.115-08:00,1730 FRANKFORT AVENUE,LOUISVILLE,KY,40206,"1730 FRANKFORT AVENUE, LOUISVILLE, KY 40206",92.86118294536405,"{ponding,shape,overhang,material,damage,rust,pool,staining,wear,patching,debris}","{None,Gable,Low,""Asphalt Shingle"",Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131356/VNAoxkU2E.jpeg,"[{'salesearchdate': '2016-11-22', 'saleTransDate': '2016-11-22', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0148470681', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2016-6-3', 'saleTransDate': '2016-6-3', 'amount': {'saleamt': 0, 'salerecdate': '2016-6-13', 'saledisclosuretype': 0, 'saledocnum': '0145840552', 'saletranstype': 'Construction Loan/Financing'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2015-12-23', 'saleTransDate': '2015-12-23', 'amount': {'saleamt': 0, 'salerecdate': '2015-12-28', 'saledisclosuretype': 0, 'saledocnum': '0143730849', 'saletranstype': 'Construction Loan/Financing'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131348,2019-01-04T05:23:46.192-08:00,404 RIVER FALLS ST,ANDALUSIA,AL,36420,"404 RIVER FALLS ST, ANDALUSIA, AL 36420",76.00382175969976,"{pool,rust,damage,ponding,material,overhang,shape,debris,patching,wear,staining}","{""No Swimming Pool"",None,Undamaged,None,""Metal Panel"",None,Gable,None,Moderate,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131348/u6uy5SKQd.jpeg,[],null,null
131350,2019-01-04T05:23:46.277-08:00,9222 STAGECOACH RD,LITTLE ROCK,AR,72210,"9222 STAGECOACH RD, LITTLE ROCK, AR 72210",92.86118294536405,"{pool,rust,damage,ponding,material,overhang,shape,patching,wear,staining,debris}","{""No Swimming Pool"",None,Undamaged,None,""Metal Panel"",Low,Gable,None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131350/4WkrKiZMI.jpeg,"[{'salesearchdate': '2018-7-30', 'saleTransDate': '2018-7-30', 'amount': {'saleamt': 400000, 'salecode': 'Estimated Sale Price', 'salerecdate': '2018-8-2', 'saledisclosuretype': 0, 'saledocnum': '0000048511', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 126}}, {'salesearchdate': '2017-8-18', 'saleTransDate': '2017-8-18', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000054449', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2017-2-15', 'saleTransDate': '2017-2-15', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000014867', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2014-6-5', 'saleTransDate': '2014-6-5', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000033933', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2011-5-23', 'saleTransDate': '2011-5-23', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000031665', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2008-4-23', 'saleTransDate': '2008-4-23', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000030040', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-7-10', 'saleTransDate': '2007-7-10', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'salerecdate': '2007-7-30', 'saledisclosuretype': 0, 'saledocnum': '0000059033', 'saletranstype': 'Construction Loan/Financing'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2006-7-10', 'saleTransDate': '2006-7-10', 'amount': {'saleamt': 0, 'salecode': 'Estimated Sale Price', 'saledisclosuretype': 0, 'saledocnum': '0000060165', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2006-4-24', 'saleTransDate': '2006-4-24', 'amount': {'saleamt': 60000, 'salecode': 'Estimated Sale Price', 'salerecdate': '2006-4-27', 'saledisclosuretype': 0, 'saledocnum': '0000031900', 'saletranstype': 'New Construction'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 19}}]",null,null
